"","year","tourney_level","surface","round_group","minutes","Retirement","winner_team_hand","loser_team_hand","winner_age_mean","loser_age_mean","winner_ht_mean","loser_ht_mean","Total_Games"
"58",2000,"Other levels","Grass","No Final",NA,"NO","RR","LL",27.3155373032,30.6228610541,174,181.5,31
"59",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",29.1006160164,23.5359342916,189,187.5,22
"60",2000,"Other levels","Grass","No Final",NA,"NO","LR","LL",22.12183436,28.99247091035,191.5,191.5,19
"61",2000,"Other levels","Grass","No Final",NA,"NO","LR","LR",27.4483230664,30.2587268994,186.5,183,34
"62",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",27.3155373032,27.48528405205,174,181.5,17
"63",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",23.5359342916,31.93429158115,187.5,185,26
"64",2000,"Other levels","Grass","No Final",NA,"NO","LL","RR",28.99247091035,28.1067761807,191.5,179,14
"65",2000,"Other levels","Grass","No Final",NA,"NO","LR","LR",22.12183436,19.30321697465,191.5,180,23
"66",2000,"Other levels","Grass","No Final",NA,"NO","RR","LR",27.79603011635,20.22176591375,179,191.5,30
"67",2000,"Other levels","Grass","No Final",NA,"NO","LR","LR",26.507871321,28.67351129365,191.5,186.5,18
"68",2000,"Other levels","Grass","No Final",NA,"NO","LL","LR",30.6228610541,26.15879534565,181.5,184,31
"69",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",25.6577686516,24.77344284735,180.5,176.5,22
"70",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",29.1006160164,24.5776865161,189,183,30
"71",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",23.47843942505,27.4647501711,193,187.5,26
"72",2000,"Other levels","Grass","No Final",NA,"NO","LR","LL",27.2156057495,30.2039698836,181.5,185.5,23
"73",2000,"Other levels","Clay","Final",NA,"NO","LR","LR",27.33470225875,26.6639288159,184,188,28
"74",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",27.33470225875,27.5564681725,184,184,29
"75",2000,"Other levels","Clay","Final",NA,"NO","LR","LR",26.6639288159,28.5763175907,188,180.5,35
"76",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",27.33470225875,24.2970568104,184,193,25
"77",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",27.5564681725,23.26762491445,184,184,19
"78",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",26.6639288159,23.0130047912,188,189.5,20
"79",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",28.5763175907,27.37987679675,180.5,188,28
"80",2000,"Other levels","Clay","No Final",NA,"NO","LR","LR",27.33470225875,28.3600273785,184,186.5,30
"81",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",23.0130047912,28.7885010267,189.5,185,20
"82",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",27.5564681725,27.55646817245,184,185.5,19
"83",2000,"Other levels","Clay","No Final",NA,"NO","LR","LL",28.5763175907,29.0417522245,180.5,184,20
"84",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",23.26762491445,23.0020533881,184,181.5,35
"85",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",24.2970568104,31.4674880219,193,185,16
"86",2000,"Other levels","Clay","No Final",NA,"NO","LR","LR",26.6639288159,27.7672826831,188,187.5,22
"87",2000,"Other levels","Clay","No Final",NA,"NO","RR","LL",27.37987679675,23.1731690623,188,177.5,20
"88",2000,"Other levels","Grass","Final",NA,"NO","RR","LR",22.5968514716,24.977412731,182.5,NA,25
"89",2000,"Other levels","Grass","Final",NA,"NO","RR","LR",22.5968514716,22.1984941821,182.5,191.5,28
"90",2000,"Other levels","Grass","Final",NA,"NO","LR","RR",24.977412731,26.73374401095,NA,185,20
"91",2000,"Other levels","Grass","Final",NA,"NO","LR","RR",22.1984941821,24.1533196441,191.5,184.5,21
"92",2000,"Other levels","Grass","Final",NA,"NO","LR","RR",24.977412731,26.49965776865,NA,178,22
"93",2000,"Other levels","Grass","Final",NA,"NO","RR","RR",22.5968514716,27.77549623545,182.5,188,26
"94",2000,"Other levels","Grass","Final",NA,"NO","RR","RR",26.73374401095,22.4873374401,185,NA,23
"95",2000,"Other levels","Grass","No Final",NA,"NO","LR","UU",22.1984941821,23.7823408624,191.5,NA,14
"96",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",26.49965776865,24.4490075291,178,184,22
"97",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",22.4873374401,24.86242299795,NA,185.5,29
"98",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",22.5968514716,23.6180698152,182.5,NA,20
"99",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",24.1533196441,27.64818617385,184.5,179,23
"100",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",26.73374401095,21.9972621492,185,NA,26
"101",2000,"Other levels","Grass","No Final",NA,"NO","RR","RR",27.77549623545,25.1266255989,188,184,17
"102",2000,"Other levels","Grass","No Final",NA,"NO","LR","LR",24.977412731,28.1820670773,NA,181.5,35
"103",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",28.78302532515,28.63381245725,187.5,185.5,27
"104",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",28.78302532515,22.302532512,187.5,186.5,17
"105",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",28.63381245725,28.43942505135,185.5,185.5,32
"106",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",28.78302532515,28.09856262835,187.5,185.5,29
"107",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",28.43942505135,28.7282683094,185.5,187.5,17
"108",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",22.302532512,28.13278576315,186.5,181.5,22
"109",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",28.63381245725,29.19644079395,185.5,179,16
"110",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.78302532515,25.7440109514,187.5,187,19
"111",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",29.19644079395,31.07323750855,179,184,20
"112",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.43942505135,28.01505817935,185.5,184,20
"113",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.13278576315,25.8466803559,181.5,184,34
"114",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",22.302532512,27.3442847365,186.5,189,28
"115",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.7282683094,24.7611225188,187.5,179,28
"116",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.09856262835,27.492128679,185.5,190.5,18
"117",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",28.63381245725,24.6830937714,185.5,171.5,16
"118",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",22.7227926078,24.5503080082,NA,186.5,27
"119",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",22.7227926078,26.629705681,NA,189,22
"120",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",24.5503080082,24.9363449692,186.5,186.5,26
"121",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",24.9363449692,25.76317590695,186.5,187,27
"122",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",26.629705681,26.54757015745,189,187.5,18
"123",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",22.7227926078,26.79123887745,NA,186.5,31
"124",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",24.5503080082,26.2600958248,186.5,184,22
"125",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",25.76317590695,20.4449007529,187,179,15
"126",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",26.629705681,25.2826830938,189,NA,17
"127",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",26.79123887745,24.0657084189,186.5,180.5,18
"128",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",26.2600958248,27.7672826831,184,179,30
"129",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",26.54757015745,24.5325119781,187.5,NA,23
"130",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",24.5503080082,26.02600958245,186.5,185,19
"131",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",22.7227926078,25.94387405885,NA,185,35
"132",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",24.9363449692,30.2724161533,186.5,NA,18
"133",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",33.3853524983,28.47775496235,179,185.5,27
"134",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",28.47775496235,30.07118412045,185.5,190,34
"135",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",33.3853524983,28.61464750175,179,180.5,23
"136",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",28.47775496235,26.7446954141,185.5,190,23
"137",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",28.61464750175,28.8720054757,180.5,179,16
"138",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",30.07118412045,27.00752908965,190,188,20
"139",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",33.3853524983,28.1711156742,179,181.5,20
"140",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",28.1711156742,31.11156741955,181.5,189.5,17
"141",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.47775496235,32.05612594115,185.5,190.5,31
"142",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",27.00752908965,31.11156741955,188,184,23
"143",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",28.8720054757,20.3874058864,179,183,17
"144",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",28.61464750175,27.41820670775,180.5,188,26
"145",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",30.07118412045,23.8234086242,190,175,31
"146",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",26.7446954141,25.68788501025,190,182.5,19
"147",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",33.3853524983,26.28884325805,179,190.5,29
"148",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",27.00752908965,26.4325804244,188,NA,27
"149",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",23.8234086242,27.98357289525,175,NA,25
"150",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",32.05612594115,22.43805612595,190.5,NA,25
"151",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",20.3874058864,24.7994524298,183,179,20
"152",2000,"Other levels","Clay","No Final",NA,"YES","RR","RR",28.1711156742,26.69130732375,181.5,190.5,10
"153",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",25.68788501025,27.35112936345,182.5,185,28
"154",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",27.41820670775,24.83641341545,188,181.5,25
"155",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",26.28884325805,24.5516769336,190.5,NA,18
"156",2000,"Other levels","Clay","Final",NA,"NO","LR","LR",27.35386721425,28.8076659822,184,185,29
"157",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",27.35386721425,32.39288158795,184,186.5,17
"158",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",28.8076659822,25.8658453114,185,184,27
"159",2000,"Other levels","Clay","Final",NA,"NO","LR","LR",27.35386721425,28.6173853525,184,185,19
"160",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",32.39288158795,25.37029431895,186.5,184,31
"161",2000,"Other levels","Clay","Final",NA,"NO","LR","RR",28.8076659822,22.3011635866,185,190.5,26
"162",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",25.8658453114,24.40657084185,184,183,16
"163",2000,"Other levels","Clay","No Final",NA,"NO","LR","LR",27.35386721425,29.5195071869,184,187,19
"164",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",32.39288158795,28.43942505135,186.5,190,31
"165",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",22.3011635866,31.09240246405,190.5,189.5,31
"166",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",28.8076659822,29.2142368241,185,180.5,20
"167",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",25.8658453114,29.1485284052,184,186.5,29
"168",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",28.6173853525,31.4866529774,185,185,31
"169",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",25.37029431895,28.45859000685,184,185.5,34
"170",2000,"Other levels","Clay","No Final",NA,"NO","RR","LR",24.40657084185,32.64887063655,183,182.5,20
"171",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",27.7672826831,31.73442847365,184,187,NA
"172",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",27.7672826831,23.2128678987,184,181.5,16
"173",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",31.73442847365,25.227926078,187,179,17
"174",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",27.7672826831,25.7412731006,184,187.5,28
"175",2000,"Other levels","Clay","Final",NA,"NO","RR","RR",31.73442847365,26.0574948665,187,184,20
"176",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",25.227926078,26.2354551677,179,179,30
"177",2000,"Other levels","Clay","Final",NA,"NO","RR","LR",23.2128678987,28.84462696785,181.5,185.5,28
"178",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",27.7672826831,27.1225188227,184,184,18
"179",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",26.0574948665,27.4551676934,184,190.5,18
"180",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",23.2128678987,30.24366872005,181.5,190,20
"181",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",26.2354551677,28.00273785075,179,183,17
"182",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",31.73442847365,18.92539356605,187,185.5,17
"183",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",25.7412731006,28.2518822724,187.5,179,23
"184",2000,"Other levels","Clay","No Final",NA,"NO","RR","RR",25.227926078,29.1321013005,179,186.5,17
"185",2000,"Other levels","Clay","No Final",NA,"NO","LR","RR",28.84462696785,22.6392881588,185.5,186.5,18
"186",2000,"Other levels","Hard","Final",NA,"NO","RR","LR",27.1923340178,31.3141683778,184,187.5,36
"187",2000,"Other levels","Hard","Final",NA,"NO","LR","LR",31.3141683778,28.84462696785,187.5,180.5,38
"188",2000,"Other levels","Hard","Final",NA,"YES","RR","RR",27.1923340178,24.09719370295,184,182.5,10
"189",2000,"Other levels","Hard","Final",NA,"NO","LR","LR",31.3141683778,26.51882272415,187.5,190.5,26
"190",2000,"Other levels","Hard","Final",NA,"NO","RR","RR",27.1923340178,23.8809034908,184,187.5,34
"191",2000,"Other levels","Hard","Final",NA,"NO","RR","RR",24.09719370295,30.5106091718,182.5,180.5,20
"192",2000,"Other levels","Hard","Final",NA,"NO","LR","LR",28.84462696785,32.26967830255,180.5,180.5,39
"193",2000,"Other levels","Hard","No Final",NA,"NO","LR","RR",28.84462696785,29.697467488,180.5,186.5,29
"194",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",24.09719370295,28.7077344285,182.5,185.5,31
"195",2000,"Other levels","Hard","No Final",NA,"NO","LR","LR",31.3141683778,22.4750171116,187.5,187.5,33
"196",2000,"Other levels","Hard","No Final",NA,"NO","RR","LR",23.8809034908,28.26694045175,187.5,189,35
"197",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",30.5106091718,28.36687200545,180.5,185.5,29
"198",2000,"Other levels","Hard","No Final",NA,"NO","RR","LR",27.1923340178,29.49897330595,184,185,20
"199",2000,"Other levels","Hard","No Final",NA,"NO","LR","RR",32.26967830255,26.1149897331,180.5,184,35
"200",2000,"Other levels","Hard","No Final",NA,"NO","LR","LR",26.51882272415,31.6741957563,190.5,179,19
"201",2000,"Other levels","Carpet","Final",NA,"NO","LR","RR",31.3333333333,21.00479123885,187.5,184,36
"202",2000,"Other levels","Carpet","Final",NA,"NO","LR","RR",31.3333333333,23.9000684463,187.5,187.5,29
"203",2000,"Other levels","Carpet","Final",NA,"NO","RR","LR",21.00479123885,32.0533880903,184,181.5,20
"204",2000,"Other levels","Carpet","Final",NA,"NO","LR","RR",32.0533880903,32.47775496235,181.5,190.5,32
"205",2000,"Other levels","Carpet","Final",NA,"NO","RR","RR",21.00479123885,29.9712525667,184,187.5,17
"206",2000,"Other levels","Carpet","Final",NA,"NO","LR","LR",31.3333333333,28.86379192335,187.5,180.5,22
"207",2000,"Other levels","Carpet","Final",NA,"NO","RR","RR",23.9000684463,24.8788501027,187.5,185.5,33
"208",2000,"Other levels","Carpet","No Final",NA,"NO","RR","RR",32.47775496235,30.96509240245,190.5,185,34
"209",2000,"Other levels","Carpet","No Final",NA,"NO","RR","LL",24.8788501027,33.2470910335,185.5,188,31
"210",2000,"Other levels","Carpet","No Final",NA,"NO","RR","RR",29.9712525667,26.8651608487,187.5,181.5,23
"211",2000,"Other levels","Carpet","No Final",NA,"NO","LR","LR",31.3333333333,29.11978097195,187.5,184,27
"212",2000,"Other levels","Carpet","No Final",NA,"NO","LR","RR",32.0533880903,21.1088295688,181.5,184,18
"213",2000,"Other levels","Carpet","No Final",NA,"NO","RR","RR",21.00479123885,28.09445585215,184,193,25
"214",2000,"Other levels","Carpet","No Final",NA,"NO","RR","RR",23.9000684463,27.84394250515,187.5,184,30
"215",2000,"Other levels","Carpet","No Final",NA,"NO","LR","LR",28.86379192335,26.53798767965,180.5,190.5,36
"216",2000,"Other levels","Hard","Final",NA,"NO","RR","LR",26.8268309377,29.0814510609,181.5,184,32
"217",2000,"Other levels","Hard","Final",NA,"NO","LR","LR",29.0814510609,26.16290212185,184,186.5,30
"218",2000,"Other levels","Hard","Final",NA,"NO","RR","RR",26.8268309377,22.2135523614,181.5,184,27
"219",2000,"Other levels","Hard","Final",NA,"NO","LR","RR",26.16290212185,20.7707049966,186.5,169,15
"220",2000,"Other levels","Hard","Final",NA,"NO","RR","RR",26.8268309377,28.06707734425,181.5,184,22
"221",2000,"Other levels","Hard","Final",NA,"NO","LR","RR",29.0814510609,27.6413415469,184,174,19
"222",2000,"Other levels","Hard","Final",NA,"NO","RR","RR",22.2135523614,27.48254620125,184,185,29
"223",2000,"Other levels","Hard","No Final",NA,"NO","LR","RR",26.16290212185,23.24572210815,186.5,176.5,NA
"224",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",28.06707734425,28.11909650925,184,184,29
"225",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",27.6413415469,27.19780971935,174,193,18
"226",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",22.2135523614,27.62902121835,184,188,18
"227",2000,"Other levels","Hard","No Final",NA,"NO","LR","RR",29.0814510609,25.1115674196,184,185.5,28
"228",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",26.8268309377,28.7077344285,181.5,180,29
"229",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",27.48254620125,25.99315537305,185,186.5,22
"230",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",20.7707049966,25.99315537305,169,187,18
"231",2000,"Other levels","Hard","No Final",NA,"NO","LR","LR",29.0814510609,24.22724161535,184,NA,16
"232",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",27.48254620125,30.264202601,185,181.5,19
"233",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",20.7707049966,23.25119780975,169,181.5,32
"234",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",28.7077344285,27.20465434635,180,194,24
"235",2000,"Other levels","Hard","No Final",NA,"NO","RR","LR",26.8268309377,26.6652977413,181.5,181.5,18
"236",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",28.11909650925,25.90554414785,184,177.5,24
"237",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",25.1115674196,29.91786447635,185.5,184,15
"238",2000,"Other levels","Hard","No Final",NA,"NO","RR","LR",23.24572210815,24.9363449692,176.5,183,22
"239",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",27.19780971935,24.45722108145,193,NA,18
"240",2000,"Other levels","Hard","No Final",NA,"NO","RR","LR",27.62902121835,26.2491444216,188,179,37
"241",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",25.99315537305,24.2847364819,186.5,180,22
"242",2000,"Other levels","Hard","No Final",NA,"NO","RR","RR",25.99315537305,25.42094455855,187,174,18
"243",2000,"Other levels","Hard","Final",NA,"NO","RR","RR",27.6221765914,25.15537303215,174,184,15
"244",2000,"Other levels","Hard","Final",NA,"NO","RR","LR",25.15537303215,29.0622861054,184,184,18
